service_id,date,exception_type
A20140608SAT,20140704,1
A20140608SUN,20140901,1
A20140608SUN,20141127,1
A20140608WKD,20140704,2
A20140608WKD,20140901,2
A20140608WKD,20141127,2
B20140608SAT,20140704,1
B20140608SAT_G,20140704,1
B20140608SAT_G,20140726,2
B20140608SAT_G,20140730,2
B20140608SAT_G,20140802,2
B20140608SAT_G,20140809,2
B20140608SAT_G,20140816,2
B20140608SAT_G,20140823,2
B20140608SUN,20140901,1
B20140608SUN,20141127,1
B20140608SUN_G,20140727,2
B20140608SUN_G,20140803,2
B20140608SUN_G,20140810,2
B20140608SUN_G,20140817,2
B20140608SUN_G,20140824,2
B20140608SUN_G,20140831,2
B20140608SUN_G,20140901,2
B20140608SUN_G,20141127,1
B20140608WKD,20140704,2
B20140608WKD,20140901,2
B20140608WKD,20141127,2
B20140608WKD_G,20140704,2
B20140608WKD_G,20140725,2
B20140608WKD_G,20140728,2
B20140608WKD_G,20140729,2
B20140608WKD_G,20140730,2
B20140608WKD_G,20140731,2
B20140608WKD_G,20140801,2
B20140608WKD_G,20140804,2
B20140608WKD_G,20140805,2
B20140608WKD_G,20140806,2
B20140608WKD_G,20140807,2
B20140608WKD_G,20140808,2
B20140608WKD_G,20140811,2
B20140608WKD_G,20140812,2
B20140608WKD_G,20140813,2
B20140608WKD_G,20140814,2
B20140608WKD_G,20140815,2
B20140608WKD_G,20140818,2
B20140608WKD_G,20140819,2
B20140608WKD_G,20140820,2
B20140608WKD_G,20140821,2
B20140608WKD_G,20140822,2
B20140608WKD_G,20140825,2
B20140608WKD_G,20140826,2
B20140608WKD_G,20140827,2
B20140608WKD_G,20140828,2
B20140608WKD_G,20140829,2
B20140608WKD_G,20140902,2
B20140608WKD_G,20141127,2
R20140615SAT,20140704,1
R20140615SUN,20140901,1
R20140615SUN,20141127,1
R20140615WKD,20140704,2
R20140615WKD,20140901,2
R20140615WKD,20141127,2
greenpoint_24-7_reopen,20140902,1
greenpoint_24-7_sat,20140726,1
greenpoint_24-7_sat,20140802,1
greenpoint_24-7_sat,20140809,1
greenpoint_24-7_sat,20140816,1
greenpoint_24-7_sat,20140823,1
greenpoint_24-7_sat_8-30,20140730,1
greenpoint_24-7_sun,20140727,1
greenpoint_24-7_sun,20140803,1
greenpoint_24-7_sun,20140810,1
greenpoint_24-7_sun,20140817,1
greenpoint_24-7_sun,20140824,1
greenpoint_24-7_sun_8-31,20140831,1
greenpoint_24-7_sun_9-1,20140901,1
greenpoint_24-7_wkd,20140728,1
greenpoint_24-7_wkd,20140729,1
greenpoint_24-7_wkd,20140730,1
greenpoint_24-7_wkd,20140731,1
greenpoint_24-7_wkd,20140801,1
greenpoint_24-7_wkd,20140804,1
greenpoint_24-7_wkd,20140805,1
greenpoint_24-7_wkd,20140806,1
greenpoint_24-7_wkd,20140807,1
greenpoint_24-7_wkd,20140808,1
greenpoint_24-7_wkd,20140811,1
greenpoint_24-7_wkd,20140812,1
greenpoint_24-7_wkd,20140813,1
greenpoint_24-7_wkd,20140814,1
greenpoint_24-7_wkd,20140815,1
greenpoint_24-7_wkd,20140818,1
greenpoint_24-7_wkd,20140819,1
greenpoint_24-7_wkd,20140820,1
greenpoint_24-7_wkd,20140821,1
greenpoint_24-7_wkd,20140822,1
greenpoint_24-7_wkd,20140825,1
greenpoint_24-7_wkd,20140826,1
greenpoint_24-7_wkd,20140827,1
greenpoint_24-7_wkd,20140828,1
greenpoint_24-7_wkd,20140829,1
greenpoint_fri_24-7,20140725,1
